MAC,DNS,encoder
F0:5D:E3:E8:16:00,aw1120slides venc0
F0:5D:E3:E8:16:01,aw1120cam venc0
F0:5D:E3:E8:16:02,aw1121slides venc0
F0:5D:E3:E8:16:03,aw1121cam venc0
F0:5D:E3:E8:16:04,aw1124slides venc0
F0:5D:E3:E8:16:05,aw1124cam venc0
F0:5D:E3:E8:16:06,aw1125slides venc0
F0:5D:E3:E8:16:07,aw1125cam venc0
F0:5D:E3:E8:16:08,aw1126slides venc0
F0:5D:E3:E8:16:09,aw1126cam venc0
F0:5D:E3:E8:16:0A,h1301slides venc1
F0:5D:E3:E8:16:0B,h1301cam venc1
F0:5D:E3:E8:16:0C,h1302slides venc1
F0:5D:E3:E8:16:0D,h1302cam venc1
F0:5D:E3:E8:16:0E,h1308slides venc1
F0:5D:E3:E8:16:0F,h1308cam venc1
F0:5D:E3:E8:16:10,h1309slides venc1
F0:5D:E3:E8:16:11,h1309cam venc1
F0:5D:E3:E8:16:12,h2213slides venc1
F0:5D:E3:E8:16:13,h2213cam venc1
F0:5D:E3:E8:16:14,h2214slides venc2
F0:5D:E3:E8:16:15,h2214cam venc2
F0:5D:E3:E8:16:16,h2215slides venc2
F0:5D:E3:E8:16:17,h2215cam venc2
F0:5D:E3:E8:16:18,jansonslides venc2
F0:5D:E3:E8:16:19,jansoncam venc2
F0:5D:E3:E8:16:1A,k1105slides venc2
F0:5D:E3:E8:16:1B,k1105cam venc2
F0:5D:E3:E8:16:1C,k3201slides venc3
F0:5D:E3:E8:16:1D,k3201cam venc3
F0:5D:E3:E8:16:1E,k3401slides venc3
F0:5D:E3:E8:16:1F,k3401cam venc3
F0:5D:E3:E8:16:20,k4201slides venc3
F0:5D:E3:E8:16:21,k4201cam venc3
F0:5D:E3:E8:16:22,k4401slides venc3
F0:5D:E3:E8:16:23,k4401cam venc3
F0:5D:E3:E8:16:24,k4601slides venc3
F0:5D:E3:E8:16:25,k4601cam venc3
F0:5D:E3:E8:16:26,ua2114slides venc4
F0:5D:E3:E8:16:27,ua2114cam venc4
F0:5D:E3:E8:16:28,ua2220slides venc4
F0:5D:E3:E8:16:29,ua2220cam venc4
F0:5D:E3:E8:16:2A,ub2252aslides venc4
F0:5D:E3:E8:16:2B,ub2252acam venc4
F0:5D:E3:E8:16:2C,ud2120slides venc4
F0:5D:E3:E8:16:2D,ud2120cam venc4
F0:5D:E3:E8:16:2E,ud2218aslides venc4
F0:5D:E3:E8:16:2F,ud2218acam venc4
